author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 376210,homeowner,https://www.cian.ru/sale/flat/301528333/,Москва,sale,flat,4,12,2,53.5,-1,0,13500000,, 3-я Нововатутинская,8,Ольховая,"Новые Ватутинки, мкр. Центральный"
ID 113505063,realtor,https://www.cian.ru/sale/flat/301824791/,Москва,sale,flat,11,12,2,55.0,-1,0,13500000,Люблино,Армавирская ,4К2,Люблино,
ID 85680379,homeowner,https://www.cian.ru/sale/flat/301811787/,Москва,sale,flat,4,18,2,40.0,-1,0,13400000,, Сальвадора Дали,1к1,Прокшино,
ID 13726614,realtor,https://www.cian.ru/sale/flat/301613928/,Москва,sale,flat,5,8,2,43.0,-1,0,13500000,Богородское,бульвар Маршала Рокоссовского,29/13,Бульвар Рокоссовского,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/296953261/,Москва,sale,flat,8,12,2,44.6,-1,0,13590000,Зюзино,Балаклавский проспект,46А,Зюзино,
Karlson Realty,real_estate_agent,https://www.cian.ru/sale/flat/301251600/,Москва,sale,flat,8,16,2,55.1,-1,0,13690000,Ясенево, Инессы Арманд,7,Новоясеневская,
Метр-Инфо,real_estate_agent,https://www.cian.ru/sale/flat/300951496/,Москва,sale,flat,7,23,2,50.0,-1,0,13700000,Южное Бутово,Бартеневская ,18к2,Бунинская аллея,Южные сады
ИНФИНИТИ,real_estate_agent,https://www.cian.ru/sale/flat/300940568/,Москва,sale,flat,1,12,2,47.7,-1,0,13700000,Бутырский, Милашенкова,12,Фонвизинская,
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300206840/,Москва,sale,flat,2,14,2,66.0,-1,0,13900000,, Александры Монаховой,5к1,Ольховая,Зелёная Линия
Екатерина Гуляева,realtor,https://www.cian.ru/sale/flat/301622033/,Москва,sale,flat,12,18,2,56.3,-1,0,13900000,Митино,Пятницкое шоссе,6К7,Волоколамская,
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/300654085/,Москва,sale,flat,19,25,2,58.6,-1,0,13900000,Некрасовка, Вертолетчиков,13,Некрасовка,Некрасовка
Vysotsky Estate,real_estate_agent,https://www.cian.ru/sale/flat/298146512/,Москва,sale,flat,7,9,2,44.8,-1,0,13900000,Войковский,3-й Новоподмосковный переулок,6,Красный Балтиец,
